id,title,genres,synopsis,rating,images,type
620a8187e9e2e90013932c6c,Lo que le pasó a Sansón,['Comedy'],Un relato sobre Sansón y cómo escogió a la mujer equivocada por esposa rechazando a la hermosa Dalila.,Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/620a8187e9e2e90013932c6c/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
6058ebdcf96a44001a1ad740,El Rey de Monterrey,['Comedy'],"Capulina y su novia, la sirvienta en una casa rica,  deciden dar un paseo usando el automóvil de los patrones. Una banda de roba coches les roban el auto. Capulina y su novia tienen que recuperar el auto antes de que sus patrones se enteren.",Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/6058ebdcf96a44001a1ad740/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e566c664faf09001a38522f,Celos,['Drama'],"Después de que el un hombre encuentra una fotografía de su futura mujer con su ex-novio, los celos lo consumen e intenta descubrir todos los detalles de la vida de su novia antes de conocerse.",Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e566c664faf09001a38522f/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d7afabb3c2e001bf9f0a4,La Vida de Pedro Infante,['Drama'],"Una historia emotiva y tierna basada en la vida real de Pedro Infante, el cantante y actor más famoso de México. Sus comienzos, sus triunfos, su pasión por los aviones, sus amores y su trágica muerte en plena flor de su edad.",TV-PG,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d7afabb3c2e001bf9f0a4/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d7126407e62001baa939a,El Investigador Capulina,['Comedy'],Capulina confunde al vicepresidente de una empresa con un ladrón. Sus amigos los luchadores Tinieblas y Superzan acuden en su ayuda y evitan un asalto. Capulina creyéndose el héroe decide poner una agencia de investigadores.,TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d7126407e62001baa939a/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e58531b407e62001baa1b15,Capulina Speedy Gonzalez,['Comedy'],"En el Oeste, el cartero Speedy sólo lleva una carta de su novia Rosita para él mismo. Un cocinero que castiga a los que no aprueban sus platillos sin picante lo obliga a comer chile. Al comerlo se vuelve rápido y valiente.",TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e58531b407e62001baa1b15/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d72726bcaef001bb19de6,El Karateca Azteca,['Comedy'],"Capulina ayuda a un arqueólogo alemán y a su guapa hija, Nadia a visitar ruinas arqueológicas. Una banda de contrabandistas de piezas arqueológicas atrapa al padre de Nadia. Capulina combate a los malhechores con sus artes marciales.",TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d72726bcaef001bb19de6/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d708e67bbf8001aab2c59,Santo Contra Capulina,['Comedy'],"Capulina es un gran admirador del campion el Santo, quien en su tiempo libre ayuda a la policia a resolver difíciles casos criminales. Un cientifico crea un robot igual a Capulina para matar al Santo. El robot y el Santo pronto se enfrentan en la arena.",TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d708e67bbf8001aab2c59/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e5d7176580fad001afd8274,El Camino de los Espantos,['Comedy'],Capulina maneja un camión de turismo. Se pierde en la carretera y se detiene en una casa abandonada donde fantasmas y espantos tratan de alejar a los turistas.,TV-G,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e5d7176580fad001afd8274/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
5e566c5c4faf09001a38510f,Yo fui violada,['Drama'],"Un violador embaraza a una de sus victimas. Su hija crece y se enamora de un joven drogadicto, quien se la ofrece , sin saberlo a su propio padre.",Not Rated,"[{'Type': 'Cover', 'Url': 'https://images.pluto.tv/episodes/5e566c5c4faf09001a38510f/poster.jpg?fill=blur&fit=fill&fm=jpg&h=1000&q=75&w=694'}]",movie
